MT-ND6,YP_003024037,None
ETFDH,NP_001268666,NM_001281737.2
ETFDH,NP_004444,NM_004453.4
ETFDH,NP_001268667,NM_001281738.1
CBR4,NP_116172,NM_032783.5
AADAT,NP_872603,NM_182662.2
AADAT,NP_057312,NM_016228.4
AADAT,NP_001273612,NM_001286683.1
AADAT,NP_001273611,NM_001286682.2
CASP3,NP_004337,NM_004346.4
CASP3,NP_116786,NM_032991.3
ACSL1,NP_001273639,NM_001286710.2
SLC25A4,NP_001142,NM_001151.4
FASTKD3,NP_076996,NM_024091.4
OXCT1,NP_000427,NM_000436.4
NNT,NP_036475,NM_012343.4
NNT,NP_892022,NM_182977.3
NDUFS4,NP_002486,NM_002495.4
NDUFAF2,NP_777549,NM_174889.5
MCCC2,NP_071415,NM_022132.5
MRPS27,NP_055899,NM_015084.3
MRPS27,NP_001273677,NM_001286748.2
MRPS27,NP_001273680,NM_001286751.2
GFM2,NP_733781,NM_170681.3
GFM2,NP_733792,NM_170691.3
GFM2,NP_115756,NM_032380.5
GFM2,NP_001268231,NM_001281302.2
ACSL6,NP_056071,NM_015256.4
ACSL6,NP_001009185,NM_001009185.3
ACSL6,NP_001192176,NM_001205247.2
ACSL6,NP_001192177,NM_001205248.2
ACSL6,NP_001192179,NM_001205250.1
ACSL6,NP_001192180,NM_001205251.2
CCDC127,NP_660308,NM_145265.3
SDHA,NP_004159,NM_004168.4
NDUFS6,NP_004544,NM_004553.6
MRPL36,NP_115868,NM_032479.4
NSUN2,NP_001180384,NM_001193455.2
NSUN2,NP_060225,NM_017755.6
ATPSCKMT,NP_001245318,NM_001258389.2
ATPSCKMT,NP_954584,NM_199133.4
ATPSCKMT,NP_001245317,NM_001258388.2
GOLPH3,NP_071413,NM_022130.4
AMACR,NP_001161067,NM_001167595.2
AMACR,NP_976316,NM_203382.3
AMACR,NP_055139,NM_014324.6
AGXT2,NP_114106,NM_031900.4
NADK2,NP_001078880,NM_001085411.3
NADK2,NP_694558,NM_153013.5
NADK2,NP_001274269,NM_001287340.2
